Day;min;max;mean;month
28;21,2;29,5;25,35;8
29;21,4;30,6;26;8
30;21,8;29,4;25,6;8
31;20,9;29,5;25,2;8
1;18,6;25,7;22,15;9
2;17,5;27,3;22,4;9
3;18,7;26,4;22,55;9
4;18,3;27,9;23,1;9
5;19,3;28;23,65;9
6;19,7;26,4;23,05;9
7;18,8;27;22,9;9
8;20;28,3;24,15;9
9;19,8;27;23,4;9
10;20;28,7;24,35;9
11;18,2;24,6;21,4;9
12;19,5;26,7;23,1;9
13;18,8;26;22,4;9
14;17,9;26,5;22,2;9
15;18;26,4;22,2;9
16;19;27,1;23,05;9
17;18,5;28,1;23,3;9
18;19,3;29;24,15;9
19;22,4;28,8;25,6;9
20;22,3;30,5;26,4;9
21;22;29,8;25,9;9
22;21,7;27,6;24,65;9
23;19,8;25,7;22,75;9
24;18,3;25,9;22,1;9
25;18,1;26,5;22,3;9
26;17,5;26,3;21,9;9
27;16,8;25,5;21,15;9
28;17,2;26,3;21,75;9
29;16,8;26;21,4;9
30;16,5;25,1;20,8;9
31;---;---;;9
1;17,2;25;21,1;10
2;18,8;23,4;21,1;10
3;17,6;26,2;21,9;10
4;16,6;26,8;21,7;10
5;17,5;27,1;22,3;10
6;17,5;25,4;21,45;10
7;16,8;25,9;21,35;10
8;17,7;25,6;21,65;10
9;17,4;26,1;21,75;10
10;17,4;26,3;21,85;10
11;17,8;26,5;22,15;10
12;18,6;26,5;22,55;10
13;19;26,5;22,75;10
14;20,9;28,1;24,5;10
15;21;28,6;24,8;10
16;20,7;26,1;23,4;10
17;19,6;27,7;23,65;10
18;18,6;26,6;22,6;10
19;18,8;27,1;22,95;10
20;17,8;25,1;21,45;10
21;17,2;25,6;21,4;10
22;12,9;23,9;18,4;10
23;10,8;19,5;15,15;10
24;11,6;19,6;15,6;10
25;13;22,1;17,55;10
26;13,6;22;17,8;10
27;13,5;21,3;17,4;10
28;14,4;21,1;17,75;10
29;12,1;21,4;16,75;10
30;12,4;21,4;16,9;10
31;12,8;21,3;17,05;10
1;11,7;20,5;16,1;11
2;12,3;20,4;16,35;11
3;11,9;21,8;16,85;11
4;14,5;21,6;18,05;11
5;18,6;21,9;20,25;11
6;18,5;22;20,25;11
7;16,1;20,5;18,3;11
8;14,9;22,7;18,8;11
9;15,4;22;18,7;11
10;15,1;21,3;18,2;11
11;16,2;20,5;18,35;11
12;14,1;19,6;16,85;11
13;12,7;19,2;15,95;11
14;12,6;20,5;16,55;11
15;13,2;18,6;15,9;11
16;12,4;19,4;15,9;11
17;11,9;18,3;15,1;11
18;12,4;18,6;15,5;11
19;12,6;19,5;16,05;11
20;11;18,7;14,85;11
21;10,2;18,3;14,25;11
22;10,5;18,5;14,5;11
23;11,8;18,9;15,35;11
24;11,5;19,1;15,3;11
25;11,1;19;15,05;11
26;13,3;16,1;14,7;11
27;12,4;18,6;15,5;11
28;12,9;20,5;16,7;11
29;17,2;20,2;18,7;11
30;17,8;22,7;20,25;11
31;---;---;;11
1;16,6;21,4;19;12
2;12,1;16,7;14,4;12
3;12,5;17;14,75;12
4;12,7;16,9;14,8;12
5;10,9;14,1;12,5;12
6;10,3;15,1;12,7;12
7;9,6;15,5;12,55;12
8;8;15,8;11,9;12
9;---;14,2;;12
10;---;15,7;;12
11;---;14,6;;12
12;7,2;15,1;11,15;12
13;8,6;15,6;12,1;12
14;12,6;15,5;14,05;12
15;12,6;16,4;14,5;12
16;9,8;15,2;12,5;12
17;10;15,8;12,9;12
18;9,9;17,5;13,7;12
19;8,4;15,2;11,8;12
20;---;14,9;;12
21;---;16,2;;12
22;---;15;;12
23;7,6;15,2;11,4;12
24;9,9;14,4;12,15;12
25;10;13,1;11,55;12
26;7,4;14,8;11,1;12
27;5,4;---;;12
28;5,7;---;;12
29;2,6;9,4;6;12
30;-1,5;5;1,75;12
31;-1,2;6,7;2,75;12
